1,Ideji is bad with their new business model.
2,Ideji is my favorite ide.
3,Your product subscription is so bad.
4,I really like your application.I really like your application.
5,I saw your booth at the lastest computer science meeting.
6,The alternative is so bad.
7,The alternative is better than you.The alternative is better than you.
8,Your competitor pricing is good but Ideji is so much better.
9,Ideji is great but I like Solarclipse too.
10,Your competitor pricing is good but Ideji subscription is awful.
11,Ideji is bad and I really like the alternative.
12,Your ide isn't that bad.
13,Your software isn't really good.
14,Your competitor isn't good and I really like Ideji.
15,Your product isn't really the best and I really like Netfruit.
